NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
DILMA,114,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PASTOR EVERALDO,1,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,PSC,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
LEVY FIDELIX,1,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,PRTB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
MARINA SILVA,41,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,PSB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
EDUARDO JORGE,3,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,PV,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
BRANCO,9,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
LUCIANA GENRO,4,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,PSOL,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
AÉCIO NEVES,92,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,PSDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
NULO,8,EEEF DR. DAVID FONTOURA DE BARCELOS,PRESIDENTE,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
NULO,12,EEEF DR. DAVID FONTOURA DE BARCELOS,GOVERNADOR,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
BRANCO,16,EEEF DR. DAVID FONTOURA DE BARCELOS,GOVERNADOR,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
VIEIRA DA CUNHA,19,EEEF DR. DAVID FONTOURA DE BARCELOS,GOVERNADOR,PDT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
TARSO GENRO,97,EEEF DR. DAVID FONTOURA DE BARCELOS,GOVERNADOR,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
JOSÉ IVO SARTORI,80,EEEF DR. DAVID FONTOURA DE BARCELOS,GOVERNADOR,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
ANA AMELIA LEMOS,49,EEEF DR. DAVID FONTOURA DE BARCELOS,GOVERNADOR,PP,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
SIMON,47,EEEF DR. DAVID FONTOURA DE BARCELOS,SENADOR,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
BRANCO,23,EEEF DR. DAVID FONTOURA DE BARCELOS,SENADOR,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
NULO,18,EEEF DR. DAVID FONTOURA DE BARCELOS,SENADOR,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
SIMONE LEITE,13,EEEF DR. DAVID FONTOURA DE BARCELOS,SENADOR,PP,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
LASIER MARTINS,78,EEEF DR. DAVID FONTOURA DE BARCELOS,SENADOR,PDT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
OLÍVIO DUTRA,94,EEEF DR. DAVID FONTOURA DE BARCELOS,SENADOR,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
MANO CHANGES,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PP,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
COVATTI FILHO,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PP,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
JOSÉ OTAVIO GERMANO,144,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PP,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PAULO PIMENTA,22,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
HENRIQUE FONTANA,9,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
MARCON,3,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
FABIANO PEREIRA,6,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
BUSATO,3,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PTB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PASTOR AIRTON LIMA,8,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PTB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
ALCEU MOREIRA,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
JOSÉ FOGAÇA,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
GIOVANI FELTES,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
MÁRCIO BIOLCHI,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
ONYX LORENZONI,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,DEM,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
DRA.ROSELI POGGERE,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
HEITOR SCHUCH,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
JAYRO DORNELLES,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
JOSE STEDILE,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
MÁRCIO SOUZA,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PV,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
NELSON MARCHEZAN JUNIOR,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
LUCAS MAROSTICA,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSOL,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
DANRLEI DE DEUS GOLEIRO,3,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSD,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
JOÃO DERLY,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PC do B,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
CLAUDIO JANTA,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,SD,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
JERÔNIMO GOERGEN,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PP,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
LUIZ CARLOS HEINZE,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PP,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
AILTON GOULARTE,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PDT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
POMPEO DE MATTOS,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PDT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
MIGUELINA VECCHIO,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PDT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
TIAGO CADO,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PDT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
FLAVIO ZACHER,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PDT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
LUCI MARI JORGE,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PT,4,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PDT,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PDT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PP,4,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PP,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PPS,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PPS,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
CARLOS GOMES,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PRB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
NULO,4,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
BRANCO,20,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
SD,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,SD,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PMDB,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PSB,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PSDB,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO FEDERAL,PSDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
ZILA BREITENBACH,4,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PSDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
NEIVA LAZZAROTTO,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PSOL,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
BOMBEIRO HECTOR,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PPL,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
BAMBERG,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PPL,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
TARCISO FLECHA NEGRA,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PSD,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
JARDEL CENTROAVANTE,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PSD,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PAULO CESAR,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PC do B,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
OSMAR SEVERO,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PC do B,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
MANUELA D AVILA,3,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PC do B,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PAULO OPUS DEI,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
ALEXANDRE POSTAL,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
PSDB,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PSDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
BRANCO,23,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
NULO,5,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
SERGIO PERES,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PRB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
GILBERTO CAPOANI,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
TIAGO SIMON,2,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PMDB,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
NELSINHO METALÚRGICO,3,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
EDEGAR PRETTO,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
ANA AFFONSO,1,EEEF DR. DAVID FONTOURA DE BARCELOS,DEPUTADO ESTADUAL,PT,10,1,-30.04109,-52.88285,CACHOEIRA DO SUL
