NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
PASTOR EVERALDO,3,ESPORTE CLUBE CRUZEIRO,PRESIDENTE,PSC,14,1,-31.38969,-52.67534,CANGUÇU
DILMA,94,ESPORTE CLUBE CRUZEIRO,PRESIDENTE,PT,14,1,-31.38969,-52.67534,CANGUÇU
MARINA SILVA,17,ESPORTE CLUBE CRUZEIRO,PRESIDENTE,PSB,14,1,-31.38969,-52.67534,CANGUÇU
EDUARDO JORGE,1,ESPORTE CLUBE CRUZEIRO,PRESIDENTE,PV,14,1,-31.38969,-52.67534,CANGUÇU
AÉCIO NEVES,184,ESPORTE CLUBE CRUZEIRO,PRESIDENTE,PSDB,14,1,-31.38969,-52.67534,CANGUÇU
LUCIANA GENRO,4,ESPORTE CLUBE CRUZEIRO,PRESIDENTE,PSOL,14,1,-31.38969,-52.67534,CANGUÇU
BRANCO,9,ESPORTE CLUBE CRUZEIRO,PRESIDENTE,,14,1,-31.38969,-52.67534,CANGUÇU
NULO,9,ESPORTE CLUBE CRUZEIRO,PRESIDENTE,,14,1,-31.38969,-52.67534,CANGUÇU
VIEIRA DA CUNHA,12,ESPORTE CLUBE CRUZEIRO,GOVERNADOR,PDT,14,1,-31.38969,-52.67534,CANGUÇU
ANA AMELIA LEMOS,87,ESPORTE CLUBE CRUZEIRO,GOVERNADOR,PP,14,1,-31.38969,-52.67534,CANGUÇU
TARSO GENRO,71,ESPORTE CLUBE CRUZEIRO,GOVERNADOR,PT,14,1,-31.38969,-52.67534,CANGUÇU
NULO,11,ESPORTE CLUBE CRUZEIRO,GOVERNADOR,,14,1,-31.38969,-52.67534,CANGUÇU
BRANCO,10,ESPORTE CLUBE CRUZEIRO,GOVERNADOR,,14,1,-31.38969,-52.67534,CANGUÇU
ROBERTO ROBAINA,1,ESPORTE CLUBE CRUZEIRO,GOVERNADOR,PSOL,14,1,-31.38969,-52.67534,CANGUÇU
JOSÉ IVO SARTORI,129,ESPORTE CLUBE CRUZEIRO,GOVERNADOR,PMDB,14,1,-31.38969,-52.67534,CANGUÇU
BRANCO,22,ESPORTE CLUBE CRUZEIRO,SENADOR,,14,1,-31.38969,-52.67534,CANGUÇU
OLÍVIO DUTRA,81,ESPORTE CLUBE CRUZEIRO,SENADOR,PT,14,1,-31.38969,-52.67534,CANGUÇU
LASIER MARTINS,105,ESPORTE CLUBE CRUZEIRO,SENADOR,PDT,14,1,-31.38969,-52.67534,CANGUÇU
SIMONE LEITE,44,ESPORTE CLUBE CRUZEIRO,SENADOR,PP,14,1,-31.38969,-52.67534,CANGUÇU
NULO,10,ESPORTE CLUBE CRUZEIRO,SENADOR,,14,1,-31.38969,-52.67534,CANGUÇU
SIMON,59,ESPORTE CLUBE CRUZEIRO,SENADOR,PMDB,14,1,-31.38969,-52.67534,CANGUÇU
MARIA DO ROSÁRIO,5,ESPORTE CLUBE CRUZEIRO,DEPUTADO FEDERAL,PT,14,1,-31.38969,-52.67534,CANGUÇU
SÉRGIO MORAES,5,ESPORTE CLUBE CRUZEIRO,DEPUTADO FEDERAL,PTB,14,1,-31.38969,-52.67534,CANGUÇU
