NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
BRANCO,11,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,PRESIDENTE,,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
DILMA,163,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,PRESIDENTE,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PASTOR EVERALDO,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,PRESIDENTE,PSC,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MARINA SILVA,19,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,PRESIDENTE,PSB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
AÉCIO NEVES,87,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,PRESIDENTE,PSDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
LUCIANA GENRO,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,PRESIDENTE,PSOL,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
NULO,9,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,PRESIDENTE,,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
NULO,10,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,GOVERNADOR,,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
ANA AMELIA LEMOS,59,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,GOVERNADOR,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
VIEIRA DA CUNHA,19,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,GOVERNADOR,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
TARSO GENRO,125,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,GOVERNADOR,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
JOSÉ IVO SARTORI,62,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,GOVERNADOR,PMDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
BRANCO,16,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,GOVERNADOR,,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
BRANCO,20,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,SENADOR,,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
NULO,18,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,SENADOR,,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
SIMON,54,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,SENADOR,PMDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
LASIER MARTINS,91,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,SENADOR,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
OLÍVIO DUTRA,83,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,SENADOR,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
SIMONE LEITE,25,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,SENADOR,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PT,7,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
PMDB,4,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PMDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
SD,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,SD,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
BRANCO,19,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
NULO,2,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
MANO CHANGES,13,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
COVATTI FILHO,7,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
JOSÉ OTAVIO GERMANO,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
JERÔNIMO GOERGEN,3,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
EDMAR HERMANY,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PP,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
AFONSO MOTTA,5,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
POMPEO DE MATTOS,5,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
GIOVANI  CHERINI,14,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,DEPUTADO FEDERAL,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
