NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
AÉCIO NEVES,80,E. E. BERNARDINO ANGELO,PRESIDENTE,PSDB,18,1,-30.981,-54.67772,DOM PEDRITO
EDUARDO JORGE,1,E. E. BERNARDINO ANGELO,PRESIDENTE,PV,18,1,-30.981,-54.67772,DOM PEDRITO
MARINA SILVA,13,E. E. BERNARDINO ANGELO,PRESIDENTE,PSB,18,1,-30.981,-54.67772,DOM PEDRITO
LEVY FIDELIX,1,E. E. BERNARDINO ANGELO,PRESIDENTE,PRTB,18,1,-30.981,-54.67772,DOM PEDRITO
DILMA,81,E. E. BERNARDINO ANGELO,PRESIDENTE,PT,18,1,-30.981,-54.67772,DOM PEDRITO
NULO,7,E. E. BERNARDINO ANGELO,PRESIDENTE,,18,1,-30.981,-54.67772,DOM PEDRITO
BRANCO,11,E. E. BERNARDINO ANGELO,PRESIDENTE,,18,1,-30.981,-54.67772,DOM PEDRITO
LUCIANA GENRO,3,E. E. BERNARDINO ANGELO,PRESIDENTE,PSOL,18,1,-30.981,-54.67772,DOM PEDRITO
NULO,3,E. E. BERNARDINO ANGELO,GOVERNADOR,,18,1,-30.981,-54.67772,DOM PEDRITO
BRANCO,17,E. E. BERNARDINO ANGELO,GOVERNADOR,,18,1,-30.981,-54.67772,DOM PEDRITO
JOSÉ IVO SARTORI,53,E. E. BERNARDINO ANGELO,GOVERNADOR,PMDB,18,1,-30.981,-54.67772,DOM PEDRITO
TARSO GENRO,50,E. E. BERNARDINO ANGELO,GOVERNADOR,PT,18,1,-30.981,-54.67772,DOM PEDRITO
ANA AMELIA LEMOS,59,E. E. BERNARDINO ANGELO,GOVERNADOR,PP,18,1,-30.981,-54.67772,DOM PEDRITO
VIEIRA DA CUNHA,15,E. E. BERNARDINO ANGELO,GOVERNADOR,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
BRANCO,24,E. E. BERNARDINO ANGELO,SENADOR,,18,1,-30.981,-54.67772,DOM PEDRITO
NULO,9,E. E. BERNARDINO ANGELO,SENADOR,,18,1,-30.981,-54.67772,DOM PEDRITO
LASIER MARTINS,63,E. E. BERNARDINO ANGELO,SENADOR,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
SIMONE LEITE,36,E. E. BERNARDINO ANGELO,SENADOR,PP,18,1,-30.981,-54.67772,DOM PEDRITO
GOLD,1,E. E. BERNARDINO ANGELO,SENADOR,PRP,18,1,-30.981,-54.67772,DOM PEDRITO
SIMON,17,E. E. BERNARDINO ANGELO,SENADOR,PMDB,18,1,-30.981,-54.67772,DOM PEDRITO
OLÍVIO DUTRA,47,E. E. BERNARDINO ANGELO,SENADOR,PT,18,1,-30.981,-54.67772,DOM PEDRITO
GAUCHINHO DE DEUS,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PSC,18,1,-30.981,-54.67772,DOM PEDRITO
ONYX LORENZONI,4,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,DEM,18,1,-30.981,-54.67772,DOM PEDRITO
DRA.ROSELI POGGERE,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PSB,18,1,-30.981,-54.67772,DOM PEDRITO
YEDA CRUSIUS,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PSDB,18,1,-30.981,-54.67772,DOM PEDRITO
NELSON MARCHEZAN JUNIOR,14,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PSDB,18,1,-30.981,-54.67772,DOM PEDRITO
DANRLEI DE DEUS GOLEIRO,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PSD,18,1,-30.981,-54.67772,DOM PEDRITO
PRB,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PRB,18,1,-30.981,-54.67772,DOM PEDRITO
PT,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PT,18,1,-30.981,-54.67772,DOM PEDRITO
ALCEU MOREIRA,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PMDB,18,1,-30.981,-54.67772,DOM PEDRITO
NULO,5,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,,18,1,-30.981,-54.67772,DOM PEDRITO
CARLOS GOMES,8,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PRB,18,1,-30.981,-54.67772,DOM PEDRITO
COVATTI FILHO,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PP,18,1,-30.981,-54.67772,DOM PEDRITO
JOSÉ OTAVIO GERMANO,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PP,18,1,-30.981,-54.67772,DOM PEDRITO
JERÔNIMO GOERGEN,15,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PP,18,1,-30.981,-54.67772,DOM PEDRITO
LUIZ CARLOS HEINZE,17,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PP,18,1,-30.981,-54.67772,DOM PEDRITO
AFONSO HAMM,44,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PP,18,1,-30.981,-54.67772,DOM PEDRITO
AFONSO MOTTA,18,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
POMPEO DE MATTOS,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
FLAVIO ZACHER,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
VALDERES DA SILVA,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
WASHINGTON CORAÇÃO VALENTE,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PDT,18,1,-30.981,-54.67772,DOM PEDRITO
PAULO PIMENTA,13,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PT,18,1,-30.981,-54.67772,DOM PEDRITO
FERNANDO MARRONI,3,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PT,18,1,-30.981,-54.67772,DOM PEDRITO
MARCON,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PT,18,1,-30.981,-54.67772,DOM PEDRITO
MARIA DO ROSÁRIO,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PT,18,1,-30.981,-54.67772,DOM PEDRITO
FABIANO PEREIRA,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PT,18,1,-30.981,-54.67772,DOM PEDRITO
RONALDO NOGUEIRA,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PTB,18,1,-30.981,-54.67772,DOM PEDRITO
MAJOR RIBEIRO,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PMDB,18,1,-30.981,-54.67772,DOM PEDRITO
LOURDES SPRENGER,1,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PMDB,18,1,-30.981,-54.67772,DOM PEDRITO
OSMAR TERRA,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PMDB,18,1,-30.981,-54.67772,DOM PEDRITO
MÁRCIO BIOLCHI,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PMDB,18,1,-30.981,-54.67772,DOM PEDRITO
GIOVANI FELTES,2,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,PMDB,18,1,-30.981,-54.67772,DOM PEDRITO
BRANCO,25,E. E. BERNARDINO ANGELO,DEPUTADO FEDERAL,,18,1,-30.981,-54.67772,DOM PEDRITO
PP,3,E. E. BERNARDINO ANGELO,DEPUTADO ESTADUAL,PP,18,1,-30.981,-54.67772,DOM PEDRITO
