NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
EDUARDO JORGE,3,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,PV,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
AÉCIO NEVES,63,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,PSDB,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
LUCIANA GENRO,6,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,PSOL,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
BRANCO,12,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
NULO,5,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
DILMA,147,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,PT,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
PASTOR EVERALDO,1,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,PSC,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
EYMAEL,1,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,PSDC,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
LEVY FIDELIX,1,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,PRTB,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
MARINA SILVA,20,ESC. PEDRO BRIZOLARA DE SOUZA,PRESIDENTE,PSB,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
HUMBERTO CARVALHO,1,ESC. PEDRO BRIZOLARA DE SOUZA,GOVERNADOR,PCB,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
ROBERTO ROBAINA,1,ESC. PEDRO BRIZOLARA DE SOUZA,GOVERNADOR,PSOL,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
BRANCO,19,ESC. PEDRO BRIZOLARA DE SOUZA,GOVERNADOR,,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
NULO,13,ESC. PEDRO BRIZOLARA DE SOUZA,GOVERNADOR,,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
ANA AMELIA LEMOS,42,ESC. PEDRO BRIZOLARA DE SOUZA,GOVERNADOR,PP,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
VIEIRA DA CUNHA,12,ESC. PEDRO BRIZOLARA DE SOUZA,GOVERNADOR,PDT,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
TARSO GENRO,112,ESC. PEDRO BRIZOLARA DE SOUZA,GOVERNADOR,PT,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
JOSÉ IVO SARTORI,59,ESC. PEDRO BRIZOLARA DE SOUZA,GOVERNADOR,PMDB,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
BRANCO,29,ESC. PEDRO BRIZOLARA DE SOUZA,SENADOR,,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
NULO,9,ESC. PEDRO BRIZOLARA DE SOUZA,SENADOR,,123,3,-31.86662,-52.81605,PEDRO OSÓRIO
