NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
DILMA,73,ESC. SAO CARLOS,PRESIDENTE,PT,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
EYMAEL,1,ESC. SAO CARLOS,PRESIDENTE,PSDC,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
MARINA SILVA,28,ESC. SAO CARLOS,PRESIDENTE,PSB,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
EDUARDO JORGE,2,ESC. SAO CARLOS,PRESIDENTE,PV,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
AÉCIO NEVES,119,ESC. SAO CARLOS,PRESIDENTE,PSDB,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
LUCIANA GENRO,4,ESC. SAO CARLOS,PRESIDENTE,PSOL,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
BRANCO,11,ESC. SAO CARLOS,PRESIDENTE,,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
NULO,7,ESC. SAO CARLOS,PRESIDENTE,,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
ANA AMELIA LEMOS,67,ESC. SAO CARLOS,GOVERNADOR,PP,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
VIEIRA DA CUNHA,9,ESC. SAO CARLOS,GOVERNADOR,PDT,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
TARSO GENRO,56,ESC. SAO CARLOS,GOVERNADOR,PT,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
JOSÉ IVO SARTORI,82,ESC. SAO CARLOS,GOVERNADOR,PMDB,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
BRANCO,17,ESC. SAO CARLOS,GOVERNADOR,,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
NULO,14,ESC. SAO CARLOS,GOVERNADOR,,43,1,-33.51674,-53.36768,SANTA VITÓRIA DO PALMAR
