NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
AÉCIO NEVES,93,ESCOLA MUNICIPAL DELFINA DA CUNHA,PRESIDENTE,PSDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
BRANCO,8,ESCOLA MUNICIPAL DELFINA DA CUNHA,PRESIDENTE,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
MARINA SILVA,24,ESCOLA MUNICIPAL DELFINA DA CUNHA,PRESIDENTE,PSB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
DILMA,167,ESCOLA MUNICIPAL DELFINA DA CUNHA,PRESIDENTE,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
NULO,5,ESCOLA MUNICIPAL DELFINA DA CUNHA,PRESIDENTE,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
VIEIRA DA CUNHA,4,ESCOLA MUNICIPAL DELFINA DA CUNHA,GOVERNADOR,PDT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
ANA AMELIA LEMOS,67,ESCOLA MUNICIPAL DELFINA DA CUNHA,GOVERNADOR,PP,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
JOSÉ IVO SARTORI,88,ESCOLA MUNICIPAL DELFINA DA CUNHA,GOVERNADOR,PMDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
NULO,12,ESCOLA MUNICIPAL DELFINA DA CUNHA,GOVERNADOR,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
BRANCO,10,ESCOLA MUNICIPAL DELFINA DA CUNHA,GOVERNADOR,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
ESTIVALETE,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,GOVERNADOR,PRTB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
TARSO GENRO,115,ESCOLA MUNICIPAL DELFINA DA CUNHA,GOVERNADOR,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
SIMON,43,ESCOLA MUNICIPAL DELFINA DA CUNHA,SENADOR,PMDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
OLÍVIO DUTRA,84,ESCOLA MUNICIPAL DELFINA DA CUNHA,SENADOR,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
LASIER MARTINS,118,ESCOLA MUNICIPAL DELFINA DA CUNHA,SENADOR,PDT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
NULO,12,ESCOLA MUNICIPAL DELFINA DA CUNHA,SENADOR,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
BRANCO,13,ESCOLA MUNICIPAL DELFINA DA CUNHA,SENADOR,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
SIMONE LEITE,27,ESCOLA MUNICIPAL DELFINA DA CUNHA,SENADOR,PP,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PSDB,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PSD,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSD,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
BRANCO,16,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
NULO,2,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
COVATTI FILHO,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PP,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
JOSÉ OTAVIO GERMANO,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PP,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
CLAUDIO DIAZ,116,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PP,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
AFONSO MOTTA,2,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PDT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
GIOVANI  CHERINI,2,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PDT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
FLAVIO ZACHER,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PDT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
SILVIO RIBEIRO,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PDT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
VERA D'AVILA,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PDT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
HENRIQUE FONTANA,25,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
BOHN GASS,2,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
FERNANDO MARRONI,4,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
MARCON,2,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
FABIANO PEREIRA,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PROFESSOR GUSTAVO,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PTB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
BUSATO,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PTB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
ALCEU MOREIRA,29,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PMDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
JOSÉ FOGAÇA,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PMDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
GIOVANI FELTES,7,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PMDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
MOISÉS SCUSSEL,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PMDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
JULIO CESAR,6,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PMDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
ONYX LORENZONI,4,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,DEM,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
GUSTAVO CURIA,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PMN,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
DRA.ROSELI POGGERE,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
HEITOR SCHUCH,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
JAIR RIZZO,20,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
MARCINHA DO JOEL,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
BETO GRILL,6,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
FILIPE TOLEDO,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
NELSON MARCHEZAN JUNIOR,16,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
DANRLEI DE DEUS GOLEIRO,5,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSD,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
JOÃO DERLY,3,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PC do B,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
CLAUDIO JANTA,2,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,SD,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PP,3,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PP,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PDT,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PDT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PT,3,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PMDB,3,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PMDB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PSB,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO FEDERAL,PSB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PTB,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO ESTADUAL,PTB,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PT,4,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO ESTADUAL,PT,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
PC DO B,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO ESTADUAL,PC do B,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
BRANCO,11,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO ESTADUAL,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
NULO,2,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO ESTADUAL,,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
KEVIN KRIEGER,1,ESCOLA MUNICIPAL DELFINA DA CUNHA,DEPUTADO ESTADUAL,PP,130,1,-32.06741,-52.04169,SÃO JOSÉ DO NORTE
