NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
DILMA,90,GRUPO ESCOLAR DR. URBANO GARCIA,PRESIDENTE,PT,60,95,-31.41482,-52.17194,TURUÇU
EYMAEL,1,GRUPO ESCOLAR DR. URBANO GARCIA,PRESIDENTE,PSDC,60,95,-31.41482,-52.17194,TURUÇU
MARINA SILVA,16,GRUPO ESCOLAR DR. URBANO GARCIA,PRESIDENTE,PSB,60,95,-31.41482,-52.17194,TURUÇU
AÉCIO NEVES,115,GRUPO ESCOLAR DR. URBANO GARCIA,PRESIDENTE,PSDB,60,95,-31.41482,-52.17194,TURUÇU
LUCIANA GENRO,3,GRUPO ESCOLAR DR. URBANO GARCIA,PRESIDENTE,PSOL,60,95,-31.41482,-52.17194,TURUÇU
NULO,10,GRUPO ESCOLAR DR. URBANO GARCIA,PRESIDENTE,,60,95,-31.41482,-52.17194,TURUÇU
BRANCO,7,GRUPO ESCOLAR DR. URBANO GARCIA,PRESIDENTE,,60,95,-31.41482,-52.17194,TURUÇU
ANA AMELIA LEMOS,67,GRUPO ESCOLAR DR. URBANO GARCIA,GOVERNADOR,PP,60,95,-31.41482,-52.17194,TURUÇU
VIEIRA DA CUNHA,8,GRUPO ESCOLAR DR. URBANO GARCIA,GOVERNADOR,PDT,60,95,-31.41482,-52.17194,TURUÇU
NULO,11,GRUPO ESCOLAR DR. URBANO GARCIA,GOVERNADOR,,60,95,-31.41482,-52.17194,TURUÇU
JOSÉ IVO SARTORI,96,GRUPO ESCOLAR DR. URBANO GARCIA,GOVERNADOR,PMDB,60,95,-31.41482,-52.17194,TURUÇU
BRANCO,10,GRUPO ESCOLAR DR. URBANO GARCIA,GOVERNADOR,,60,95,-31.41482,-52.17194,TURUÇU
TARSO GENRO,50,GRUPO ESCOLAR DR. URBANO GARCIA,GOVERNADOR,PT,60,95,-31.41482,-52.17194,TURUÇU
SIMON,50,GRUPO ESCOLAR DR. URBANO GARCIA,SENADOR,PMDB,60,95,-31.41482,-52.17194,TURUÇU
OLÍVIO DUTRA,54,GRUPO ESCOLAR DR. URBANO GARCIA,SENADOR,PT,60,95,-31.41482,-52.17194,TURUÇU
LASIER MARTINS,64,GRUPO ESCOLAR DR. URBANO GARCIA,SENADOR,PDT,60,95,-31.41482,-52.17194,TURUÇU
SIMONE LEITE,39,GRUPO ESCOLAR DR. URBANO GARCIA,SENADOR,PP,60,95,-31.41482,-52.17194,TURUÇU
BRANCO,15,GRUPO ESCOLAR DR. URBANO GARCIA,SENADOR,,60,95,-31.41482,-52.17194,TURUÇU
NULO,20,GRUPO ESCOLAR DR. URBANO GARCIA,SENADOR,,60,95,-31.41482,-52.17194,TURUÇU
BETO GRILL,35,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSB,60,95,-31.41482,-52.17194,TURUÇU
HEITOR SCHUCH,3,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSB,60,95,-31.41482,-52.17194,TURUÇU
PAULA IORIS,1,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSDB,60,95,-31.41482,-52.17194,TURUÇU
NELSON MARCHEZAN JUNIOR,9,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSDB,60,95,-31.41482,-52.17194,TURUÇU
DR. CARLOS SZULCSEWSKI,3,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSDB,60,95,-31.41482,-52.17194,TURUÇU
DANRLEI DE DEUS GOLEIRO,2,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSD,60,95,-31.41482,-52.17194,TURUÇU
PRB,1,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PRB,60,95,-31.41482,-52.17194,TURUÇU
PP,5,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PP,60,95,-31.41482,-52.17194,TURUÇU
PT,7,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PT,60,95,-31.41482,-52.17194,TURUÇU
PMDB,3,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PMDB,60,95,-31.41482,-52.17194,TURUÇU
PSTU,1,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSTU,60,95,-31.41482,-52.17194,TURUÇU
PSB,2,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSB,60,95,-31.41482,-52.17194,TURUÇU
PSDB,2,GRUPO ESCOLAR DR. URBANO GARCIA,DEPUTADO FEDERAL,PSDB,60,95,-31.41482,-52.17194,TURUÇU
