NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
NULO,11,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,PRESIDENTE,,58,1,-28.51126,-50.93913,VACARIA
EDUARDO JORGE,3,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,PRESIDENTE,PV,58,1,-28.51126,-50.93913,VACARIA
AÉCIO NEVES,182,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,PRESIDENTE,PSDB,58,1,-28.51126,-50.93913,VACARIA
LUCIANA GENRO,3,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,PRESIDENTE,PSOL,58,1,-28.51126,-50.93913,VACARIA
BRANCO,8,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,PRESIDENTE,,58,1,-28.51126,-50.93913,VACARIA
DILMA,52,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,PRESIDENTE,PT,58,1,-28.51126,-50.93913,VACARIA
MAURO IASI,1,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,PRESIDENTE,PCB,58,1,-28.51126,-50.93913,VACARIA
MARINA SILVA,31,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,PRESIDENTE,PSB,58,1,-28.51126,-50.93913,VACARIA
NULO,16,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,GOVERNADOR,,58,1,-28.51126,-50.93913,VACARIA
BRANCO,11,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,GOVERNADOR,,58,1,-28.51126,-50.93913,VACARIA
ROBERTO ROBAINA,1,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,GOVERNADOR,PSOL,58,1,-28.51126,-50.93913,VACARIA
JOSÉ IVO SARTORI,162,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,GOVERNADOR,PMDB,58,1,-28.51126,-50.93913,VACARIA
VIEIRA DA CUNHA,8,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,GOVERNADOR,PDT,58,1,-28.51126,-50.93913,VACARIA
ANA AMELIA LEMOS,59,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,GOVERNADOR,PP,58,1,-28.51126,-50.93913,VACARIA
TARSO GENRO,34,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,GOVERNADOR,PT,58,1,-28.51126,-50.93913,VACARIA
SIMON,59,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,SENADOR,PMDB,58,1,-28.51126,-50.93913,VACARIA
LASIER MARTINS,104,ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA,SENADOR,PDT,58,1,-28.51126,-50.93913,VACARIA
