NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,8,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,#NULO#,19,100,-30.87627,-52.25357,AMARAL FERRADOR
Nulo,6,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,#NULO#,19,100,-30.87627,-52.25357,AMARAL FERRADOR
CIRO GOMES,25,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PDT,19,100,-30.87627,-52.25357,AMARAL FERRADOR
FERNANDO HADDAD,98,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PT,19,100,-30.87627,-52.25357,AMARAL FERRADOR
JAIR BOLSONARO,120,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PSL,19,100,-30.87627,-52.25357,AMARAL FERRADOR
MARINA SILVA,1,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,REDE,19,100,-30.87627,-52.25357,AMARAL FERRADOR
ALVARO DIAS,1,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PODE,19,100,-30.87627,-52.25357,AMARAL FERRADOR
JOÃO AMOÊDO,3,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,NOVO,19,100,-30.87627,-52.25357,AMARAL FERRADOR
GERALDO ALCKMIN,24,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PSDB,19,100,-30.87627,-52.25357,AMARAL FERRADOR
CABO DACIOLO,1,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PATRI,19,100,-30.87627,-52.25357,AMARAL FERRADOR
Branco,9,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,#NULO#,19,22,-30.88925,-52.1584,AMARAL FERRADOR
Nulo,6,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,#NULO#,19,22,-30.88925,-52.1584,AMARAL FERRADOR
CIRO GOMES,33,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,PDT,19,22,-30.88925,-52.1584,AMARAL FERRADOR
FERNANDO HADDAD,74,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,PT,19,22,-30.88925,-52.1584,AMARAL FERRADOR
HENRIQUE MEIRELLES,1,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,MDB,19,22,-30.88925,-52.1584,AMARAL FERRADOR
JAIR BOLSONARO,45,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,PSL,19,22,-30.88925,-52.1584,AMARAL FERRADOR
ALVARO DIAS,3,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,PODE,19,22,-30.88925,-52.1584,AMARAL FERRADOR
JOÃO AMOÊDO,1,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,NOVO,19,22,-30.88925,-52.1584,AMARAL FERRADOR
GERALDO ALCKMIN,16,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,PSDB,19,22,-30.88925,-52.1584,AMARAL FERRADOR
CABO DACIOLO,1,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,Presidente,PATRI,19,22,-30.88925,-52.1584,AMARAL FERRADOR
Branco,16,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,#NULO#,19,37,-30.87627,-52.25357,AMARAL FERRADOR
Nulo,10,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,#NULO#,19,37,-30.87627,-52.25357,AMARAL FERRADOR
CIRO GOMES,46,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PDT,19,37,-30.87627,-52.25357,AMARAL FERRADOR
FERNANDO HADDAD,78,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PT,19,37,-30.87627,-52.25357,AMARAL FERRADOR
HENRIQUE MEIRELLES,4,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,MDB,19,37,-30.87627,-52.25357,AMARAL FERRADOR
JAIR BOLSONARO,127,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,PSL,19,37,-30.87627,-52.25357,AMARAL FERRADOR
JOÃO AMOÊDO,1,E. E. JOSE DO PATROCINIO - CENTRO,Presidente,NOVO,19,37,-30.87627,-52.25357,AMARAL FERRADOR
