NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,2,EMEF PROFESSOR ARLINDO MARTINS,Presidente,#NULO#,92,1,-32.1207,-52.81814,ARROIO GRANDE
Nulo,3,EMEF PROFESSOR ARLINDO MARTINS,Presidente,#NULO#,92,1,-32.1207,-52.81814,ARROIO GRANDE
CIRO GOMES,9,EMEF PROFESSOR ARLINDO MARTINS,Presidente,PDT,92,1,-32.1207,-52.81814,ARROIO GRANDE
FERNANDO HADDAD,8,EMEF PROFESSOR ARLINDO MARTINS,Presidente,PT,92,1,-32.1207,-52.81814,ARROIO GRANDE
HENRIQUE MEIRELLES,3,EMEF PROFESSOR ARLINDO MARTINS,Presidente,MDB,92,1,-32.1207,-52.81814,ARROIO GRANDE
JAIR BOLSONARO,11,EMEF PROFESSOR ARLINDO MARTINS,Presidente,PSL,92,1,-32.1207,-52.81814,ARROIO GRANDE
ALVARO DIAS,1,EMEF PROFESSOR ARLINDO MARTINS,Presidente,PODE,92,1,-32.1207,-52.81814,ARROIO GRANDE
JOÃO AMOÊDO,1,EMEF PROFESSOR ARLINDO MARTINS,Presidente,NOVO,92,1,-32.1207,-52.81814,ARROIO GRANDE
GERALDO ALCKMIN,11,EMEF PROFESSOR ARLINDO MARTINS,Presidente,PSDB,92,1,-32.1207,-52.81814,ARROIO GRANDE
GUILHERME BOULOS,1,EMEF PROFESSOR ARLINDO MARTINS,Presidente,PSOL,92,1,-32.1207,-52.81814,ARROIO GRANDE
Branco,14,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,#NULO#,92,10,-32.2318,-53.08525,ARROIO GRANDE
Nulo,5,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,#NULO#,92,10,-32.2318,-53.08525,ARROIO GRANDE
CIRO GOMES,44,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,PDT,92,10,-32.2318,-53.08525,ARROIO GRANDE
FERNANDO HADDAD,70,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,PT,92,10,-32.2318,-53.08525,ARROIO GRANDE
HENRIQUE MEIRELLES,1,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,MDB,92,10,-32.2318,-53.08525,ARROIO GRANDE
JAIR BOLSONARO,95,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,PSL,92,10,-32.2318,-53.08525,ARROIO GRANDE
MARINA SILVA,1,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,REDE,92,10,-32.2318,-53.08525,ARROIO GRANDE
ALVARO DIAS,4,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,PODE,92,10,-32.2318,-53.08525,ARROIO GRANDE
JOÃO AMOÊDO,7,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,NOVO,92,10,-32.2318,-53.08525,ARROIO GRANDE
GERALDO ALCKMIN,17,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,PSDB,92,10,-32.2318,-53.08525,ARROIO GRANDE
CABO DACIOLO,1,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,Presidente,PATRI,92,10,-32.2318,-53.08525,ARROIO GRANDE
Branco,7,EEEM VINTE DE SETEMBRO,Presidente,#NULO#,92,11,-32.23512,-53.08246,ARROIO GRANDE
Nulo,7,EEEM VINTE DE SETEMBRO,Presidente,#NULO#,92,11,-32.23512,-53.08246,ARROIO GRANDE
CIRO GOMES,20,EEEM VINTE DE SETEMBRO,Presidente,PDT,92,11,-32.23512,-53.08246,ARROIO GRANDE
FERNANDO HADDAD,33,EEEM VINTE DE SETEMBRO,Presidente,PT,92,11,-32.23512,-53.08246,ARROIO GRANDE
HENRIQUE MEIRELLES,2,EEEM VINTE DE SETEMBRO,Presidente,MDB,92,11,-32.23512,-53.08246,ARROIO GRANDE
JAIR BOLSONARO,55,EEEM VINTE DE SETEMBRO,Presidente,PSL,92,11,-32.23512,-53.08246,ARROIO GRANDE
ALVARO DIAS,1,EEEM VINTE DE SETEMBRO,Presidente,PODE,92,11,-32.23512,-53.08246,ARROIO GRANDE
JOÃO AMOÊDO,4,EEEM VINTE DE SETEMBRO,Presidente,NOVO,92,11,-32.23512,-53.08246,ARROIO GRANDE
