NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,6,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,#NULO#,12,1,-30.85095,-51.81262,CAMAQUÃ
Nulo,6,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,#NULO#,12,1,-30.85095,-51.81262,CAMAQUÃ
CIRO GOMES,28,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,PDT,12,1,-30.85095,-51.81262,CAMAQUÃ
FERNANDO HADDAD,45,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,PT,12,1,-30.85095,-51.81262,CAMAQUÃ
HENRIQUE MEIRELLES,6,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,MDB,12,1,-30.85095,-51.81262,CAMAQUÃ
JAIR BOLSONARO,171,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,PSL,12,1,-30.85095,-51.81262,CAMAQUÃ
ALVARO DIAS,2,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,PODE,12,1,-30.85095,-51.81262,CAMAQUÃ
EYMAEL,1,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,DC,12,1,-30.85095,-51.81262,CAMAQUÃ
JOÃO AMOÊDO,8,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,NOVO,12,1,-30.85095,-51.81262,CAMAQUÃ
GERALDO ALCKMIN,16,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,PSDB,12,1,-30.85095,-51.81262,CAMAQUÃ
GUILHERME BOULOS,3,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,PSOL,12,1,-30.85095,-51.81262,CAMAQUÃ
CABO DACIOLO,1,COLÉGIO ESTADUAL SETE DE SETEMBRO,Presidente,PATRI,12,1,-30.85095,-51.81262,CAMAQUÃ
Branco,12,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,#NULO#,12,10,-30.85793,-51.81561,CAMAQUÃ
Nulo,11,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,#NULO#,12,10,-30.85793,-51.81561,CAMAQUÃ
CIRO GOMES,19,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,PDT,12,10,-30.85793,-51.81561,CAMAQUÃ
FERNANDO HADDAD,52,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,PT,12,10,-30.85793,-51.81561,CAMAQUÃ
HENRIQUE MEIRELLES,4,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,MDB,12,10,-30.85793,-51.81561,CAMAQUÃ
JAIR BOLSONARO,143,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,PSL,12,10,-30.85793,-51.81561,CAMAQUÃ
MARINA SILVA,2,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,REDE,12,10,-30.85793,-51.81561,CAMAQUÃ
ALVARO DIAS,2,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,PODE,12,10,-30.85793,-51.81561,CAMAQUÃ
EYMAEL,1,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,DC,12,10,-30.85793,-51.81561,CAMAQUÃ
JOÃO AMOÊDO,5,SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS,Presidente,NOVO,12,10,-30.85793,-51.81561,CAMAQUÃ
