NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,15,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Nulo,7,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,#NULO#,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
CIRO GOMES,14,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,PDT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
FERNANDO HADDAD,97,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,PT,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
HENRIQUE MEIRELLES,13,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,MDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
JAIR BOLSONARO,57,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,PSL,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
JOÃO AMOÊDO,1,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,NOVO,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
GERALDO ALCKMIN,18,SALÃO PAROQUIAL IGREJA SÃO JOSÉ,Presidente,PSDB,84,12,-30.53988,-51.83424,CERRO GRANDE DO SUL
Branco,9,E. E. ENSINO MEDIO MEM DE SA,Presidente,#NULO#,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
Nulo,8,E. E. ENSINO MEDIO MEM DE SA,Presidente,#NULO#,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
CIRO GOMES,24,E. E. ENSINO MEDIO MEM DE SA,Presidente,PDT,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
FERNANDO HADDAD,66,E. E. ENSINO MEDIO MEM DE SA,Presidente,PT,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
HENRIQUE MEIRELLES,6,E. E. ENSINO MEDIO MEM DE SA,Presidente,MDB,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
JAIR BOLSONARO,136,E. E. ENSINO MEDIO MEM DE SA,Presidente,PSL,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
JOÃO AMOÊDO,4,E. E. ENSINO MEDIO MEM DE SA,Presidente,NOVO,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
GERALDO ALCKMIN,17,E. E. ENSINO MEDIO MEM DE SA,Presidente,PSDB,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
CABO DACIOLO,3,E. E. ENSINO MEDIO MEM DE SA,Presidente,PATRI,84,13,-30.59483,-51.7505,CERRO GRANDE DO SUL
Branco,8,E. E. ENSINO MEDIO MEM DE SA,Presidente,#NULO#,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
Nulo,2,E. E. ENSINO MEDIO MEM DE SA,Presidente,#NULO#,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
CIRO GOMES,32,E. E. ENSINO MEDIO MEM DE SA,Presidente,PDT,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
FERNANDO HADDAD,61,E. E. ENSINO MEDIO MEM DE SA,Presidente,PT,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
HENRIQUE MEIRELLES,5,E. E. ENSINO MEDIO MEM DE SA,Presidente,MDB,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
JAIR BOLSONARO,149,E. E. ENSINO MEDIO MEM DE SA,Presidente,PSL,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
MARINA SILVA,1,E. E. ENSINO MEDIO MEM DE SA,Presidente,REDE,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
JOÃO AMOÊDO,2,E. E. ENSINO MEDIO MEM DE SA,Presidente,NOVO,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
GERALDO ALCKMIN,17,E. E. ENSINO MEDIO MEM DE SA,Presidente,PSDB,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
CABO DACIOLO,1,E. E. ENSINO MEDIO MEM DE SA,Presidente,PATRI,84,14,-30.59483,-51.7505,CERRO GRANDE DO SUL
Branco,24,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,#NULO#,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
Nulo,11,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,#NULO#,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
CIRO GOMES,18,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,PDT,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
FERNANDO HADDAD,103,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,PT,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
HENRIQUE MEIRELLES,12,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,MDB,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
JAIR BOLSONARO,102,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,PSL,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
ALVARO DIAS,1,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,PODE,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
GERALDO ALCKMIN,17,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,PSDB,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
GUILHERME BOULOS,2,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,PSOL,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
CABO DACIOLO,3,E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER,Presidente,PATRI,84,16,-30.63426,-51.72784,CERRO GRANDE DO SUL
Branco,13,E.M.E.F. FORTALEZA,Presidente,#NULO#,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
Nulo,6,E.M.E.F. FORTALEZA,Presidente,#NULO#,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
CIRO GOMES,17,E.M.E.F. FORTALEZA,Presidente,PDT,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
FERNANDO HADDAD,77,E.M.E.F. FORTALEZA,Presidente,PT,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
HENRIQUE MEIRELLES,5,E.M.E.F. FORTALEZA,Presidente,MDB,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
JAIR BOLSONARO,143,E.M.E.F. FORTALEZA,Presidente,PSL,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
ALVARO DIAS,2,E.M.E.F. FORTALEZA,Presidente,PODE,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
JOÃO AMOÊDO,3,E.M.E.F. FORTALEZA,Presidente,NOVO,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
GERALDO ALCKMIN,29,E.M.E.F. FORTALEZA,Presidente,PSDB,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
GUILHERME BOULOS,1,E.M.E.F. FORTALEZA,Presidente,PSOL,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
CABO DACIOLO,1,E.M.E.F. FORTALEZA,Presidente,PATRI,84,17,-30.59847,-51.75261,CERRO GRANDE DO SUL
Branco,13,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,#NULO#,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
Nulo,8,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,#NULO#,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
CIRO GOMES,31,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,PDT,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
FERNANDO HADDAD,73,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,PT,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
HENRIQUE MEIRELLES,1,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,MDB,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
JAIR BOLSONARO,62,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,PSL,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
MARINA SILVA,1,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,REDE,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
EYMAEL,1,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,DC,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
JOÃO AMOÊDO,2,E. E. ENSINO FUND. MANOELA ALVES PACHECO,Presidente,NOVO,84,18,-30.60966,-51.84472,CERRO GRANDE DO SUL
