NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,12,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,#NULO#,25,1,-32.55833,-53.37313,JAGUARÃO
Nulo,13,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,#NULO#,25,1,-32.55833,-53.37313,JAGUARÃO
CIRO GOMES,15,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,PDT,25,1,-32.55833,-53.37313,JAGUARÃO
FERNANDO HADDAD,72,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,PT,25,1,-32.55833,-53.37313,JAGUARÃO
HENRIQUE MEIRELLES,11,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,MDB,25,1,-32.55833,-53.37313,JAGUARÃO
VERA,1,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,PSTU,25,1,-32.55833,-53.37313,JAGUARÃO
JAIR BOLSONARO,116,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,PSL,25,1,-32.55833,-53.37313,JAGUARÃO
MARINA SILVA,3,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,REDE,25,1,-32.55833,-53.37313,JAGUARÃO
ALVARO DIAS,2,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,PODE,25,1,-32.55833,-53.37313,JAGUARÃO
GERALDO ALCKMIN,24,INSTITUTO DE EDUCACAO ESPIRITO SANTO,Presidente,PSDB,25,1,-32.55833,-53.37313,JAGUARÃO
Branco,5,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,#NULO#,25,10,-32.55525,-53.39098,JAGUARÃO
Nulo,12,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,#NULO#,25,10,-32.55525,-53.39098,JAGUARÃO
CIRO GOMES,14,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,PDT,25,10,-32.55525,-53.39098,JAGUARÃO
FERNANDO HADDAD,49,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,PT,25,10,-32.55525,-53.39098,JAGUARÃO
HENRIQUE MEIRELLES,1,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,MDB,25,10,-32.55525,-53.39098,JAGUARÃO
JAIR BOLSONARO,49,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,PSL,25,10,-32.55525,-53.39098,JAGUARÃO
MARINA SILVA,2,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,REDE,25,10,-32.55525,-53.39098,JAGUARÃO
JOÃO AMOÊDO,2,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,NOVO,25,10,-32.55525,-53.39098,JAGUARÃO
GERALDO ALCKMIN,7,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,PSDB,25,10,-32.55525,-53.39098,JAGUARÃO
GUILHERME BOULOS,1,UNIVERSIDADE FEDERAL DO PAMPA,Presidente,PSOL,25,10,-32.55525,-53.39098,JAGUARÃO
Branco,7,SOCIEDADE HARMONIA JAGUARAO - SEDE ESPORTIVA,Presidente,#NULO#,25,11,-32.55482,-53.38219,JAGUARÃO
