NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,3,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,#NULO#,156,1,-30.26035,-50.50877,PALMARES DO SUL
Nulo,2,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,#NULO#,156,1,-30.26035,-50.50877,PALMARES DO SUL
CIRO GOMES,40,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PDT,156,1,-30.26035,-50.50877,PALMARES DO SUL
FERNANDO HADDAD,54,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PT,156,1,-30.26035,-50.50877,PALMARES DO SUL
JAIR BOLSONARO,100,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PSL,156,1,-30.26035,-50.50877,PALMARES DO SUL
MARINA SILVA,3,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,REDE,156,1,-30.26035,-50.50877,PALMARES DO SUL
ALVARO DIAS,2,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PODE,156,1,-30.26035,-50.50877,PALMARES DO SUL
EYMAEL,1,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,DC,156,1,-30.26035,-50.50877,PALMARES DO SUL
JOÃO AMOÊDO,12,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,NOVO,156,1,-30.26035,-50.50877,PALMARES DO SUL
GERALDO ALCKMIN,12,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PSDB,156,1,-30.26035,-50.50877,PALMARES DO SUL
CABO DACIOLO,2,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PATRI,156,1,-30.26035,-50.50877,PALMARES DO SUL
Branco,13,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,#NULO#,156,10,-30.33717,-50.27558,PALMARES DO SUL
Nulo,6,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,#NULO#,156,10,-30.33717,-50.27558,PALMARES DO SUL
CIRO GOMES,14,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,PDT,156,10,-30.33717,-50.27558,PALMARES DO SUL
FERNANDO HADDAD,48,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,PT,156,10,-30.33717,-50.27558,PALMARES DO SUL
HENRIQUE MEIRELLES,2,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,MDB,156,10,-30.33717,-50.27558,PALMARES DO SUL
JAIR BOLSONARO,106,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,PSL,156,10,-30.33717,-50.27558,PALMARES DO SUL
MARINA SILVA,3,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,REDE,156,10,-30.33717,-50.27558,PALMARES DO SUL
ALVARO DIAS,2,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,PODE,156,10,-30.33717,-50.27558,PALMARES DO SUL
GERALDO ALCKMIN,27,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,PSDB,156,10,-30.33717,-50.27558,PALMARES DO SUL
CABO DACIOLO,3,ESCOLA MUNICIPAL BENTO GONÇALVES,Presidente,PATRI,156,10,-30.33717,-50.27558,PALMARES DO SUL
Branco,5,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,#NULO#,156,11,-30.26035,-50.50877,PALMARES DO SUL
Nulo,6,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,#NULO#,156,11,-30.26035,-50.50877,PALMARES DO SUL
CIRO GOMES,52,ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA,Presidente,PDT,156,11,-30.26035,-50.50877,PALMARES DO SUL
