NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,9,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,#NULO#,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
Nulo,9,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,#NULO#,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
CIRO GOMES,15,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,PDT,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
FERNANDO HADDAD,132,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,PT,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
HENRIQUE MEIRELLES,6,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,MDB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
JAIR BOLSONARO,132,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,PSL,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
ALVARO DIAS,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,PODE,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
JOÃO AMOÊDO,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,NOVO,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
GERALDO ALCKMIN,45,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,PSDB,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
GUILHERME BOULOS,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER,Presidente,PSOL,80,1,-31.12758,-52.17736,SÃO LOURENÇO DO SUL
Branco,11,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,#NULO#,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
Nulo,9,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,#NULO#,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
CIRO GOMES,20,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,PDT,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
FERNANDO HADDAD,75,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,PT,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
HENRIQUE MEIRELLES,2,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,MDB,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
JAIR BOLSONARO,159,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,PSL,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
ALVARO DIAS,1,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,PODE,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
JOÃO AMOÊDO,9,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,NOVO,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
GERALDO ALCKMIN,9,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,PSDB,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
GUILHERME BOULOS,2,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,PSOL,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
CABO DACIOLO,1,ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL,Presidente,PATRI,80,10,-31.36684,-51.98271,SÃO LOURENÇO DO SUL
Branco,12,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,#NULO#,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
Nulo,9,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,#NULO#,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
CIRO GOMES,16,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,PDT,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
FERNANDO HADDAD,95,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,PT,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
HENRIQUE MEIRELLES,3,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,MDB,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
JAIR BOLSONARO,92,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,PSL,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
MARINA SILVA,1,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,REDE,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
JOÃO AMOÊDO,7,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,NOVO,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
GERALDO ALCKMIN,20,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,PSDB,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
GUILHERME BOULOS,1,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,PSOL,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
CABO DACIOLO,1,COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA,Presidente,PATRI,80,102,-31.36775,-51.98675,SÃO LOURENÇO DO SUL
Branco,11,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,#NULO#,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
Nulo,7,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,#NULO#,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
CIRO GOMES,33,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,PDT,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
FERNANDO HADDAD,86,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,PT,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
HENRIQUE MEIRELLES,3,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,MDB,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
JAIR BOLSONARO,126,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,PSL,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
ALVARO DIAS,2,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,PODE,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
JOÃO AMOÊDO,3,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,NOVO,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
GERALDO ALCKMIN,11,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,PSDB,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
GUILHERME BOULOS,4,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH,Presidente,PSOL,80,103,-31.36891,-51.96913,SÃO LOURENÇO DO SUL
Branco,8,ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR RODOLFO BERSCH,Presidente,#NULO#,80,104,-31.25238,-52.21003,SÃO LOURENÇO DO SUL
Nulo,16,ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR RODOLFO BERSCH,Presidente,#NULO#,80,104,-31.25238,-52.21003,SÃO LOURENÇO DO SUL
CIRO GOMES,12,ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR RODOLFO BERSCH,Presidente,PDT,80,104,-31.25238,-52.21003,SÃO LOURENÇO DO SUL
FERNANDO HADDAD,101,ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR RODOLFO BERSCH,Presidente,PT,80,104,-31.25238,-52.21003,SÃO LOURENÇO DO SUL
HENRIQUE MEIRELLES,4,ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR RODOLFO BERSCH,Presidente,MDB,80,104,-31.25238,-52.21003,SÃO LOURENÇO DO SUL
JAIR BOLSONARO,76,ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR RODOLFO BERSCH,Presidente,PSL,80,104,-31.25238,-52.21003,SÃO LOURENÇO DO SUL
