NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
JAIR BOLSONARO,101,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Presidente,PL,5,1,-29.79719,-55.80258,ALEGRETE
CIRO GOMES,7,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Presidente,PDT,5,1,-29.79719,-55.80258,ALEGRETE
SIMONE TEBET,18,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Presidente,MDB,5,1,-29.79719,-55.80258,ALEGRETE
LULA,102,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Presidente,PT,5,1,-29.79719,-55.80258,ALEGRETE
Branco,1,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Presidente,#NULO#,5,1,-29.79719,-55.80258,ALEGRETE
FELIPE D'AVILA,1,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Presidente,NOVO,5,1,-29.79719,-55.80258,ALEGRETE
Nulo,1,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Presidente,#NULO#,5,1,-29.79719,-55.80258,ALEGRETE
ONYX LORENZONI,63,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Governador,PL,5,1,-29.79719,-55.80258,ALEGRETE
Nulo,4,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Governador,#NULO#,5,1,-29.79719,-55.80258,ALEGRETE
Branco,2,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Governador,#NULO#,5,1,-29.79719,-55.80258,ALEGRETE
EDUARDO LEITE,68,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Governador,PSDB,5,1,-29.79719,-55.80258,ALEGRETE
RICARDO JOBIM,1,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Governador,NOVO,5,1,-29.79719,-55.80258,ALEGRETE
VICENTE BOGO,1,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Governador,PSB,5,1,-29.79719,-55.80258,ALEGRETE
LUIS CARLOS HEINZE,33,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Governador,PP,5,1,-29.79719,-55.80258,ALEGRETE
EDEGAR PRETTO,54,UERGS - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,Governador,PT,5,1,-29.79719,-55.80258,ALEGRETE
