NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,5,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Presidente,#NULO#,12,36,-30.75546,-51.97933,CHUVISCA
Nulo,4,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Presidente,#NULO#,12,36,-30.75546,-51.97933,CHUVISCA
CIRO GOMES,8,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Presidente,PDT,12,36,-30.75546,-51.97933,CHUVISCA
SIMONE TEBET,15,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Presidente,MDB,12,36,-30.75546,-51.97933,CHUVISCA
JAIR BOLSONARO,120,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Presidente,PL,12,36,-30.75546,-51.97933,CHUVISCA
LULA,81,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Presidente,PT,12,36,-30.75546,-51.97933,CHUVISCA
EDUARDO LEITE,42,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Governador,PSDB,12,36,-30.75546,-51.97933,CHUVISCA
VIEIRA DA CUNHA,3,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Governador,PDT,12,36,-30.75546,-51.97933,CHUVISCA
Branco,19,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Governador,#NULO#,12,36,-30.75546,-51.97933,CHUVISCA
Nulo,6,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Governador,#NULO#,12,36,-30.75546,-51.97933,CHUVISCA
ONYX LORENZONI,109,E E DE 1 GRAU PROF ALAÍDES SCHUMACHER PINHEIRO,Governador,PL,12,36,-30.75546,-51.97933,CHUVISCA
