NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,4,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Presidente,#NULO#,12,29,-30.92515,-51.98111,CRISTAL
LULA,88,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Presidente,PT,12,29,-30.92515,-51.98111,CRISTAL
Nulo,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Presidente,#NULO#,12,29,-30.92515,-51.98111,CRISTAL
CIRO GOMES,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Presidente,PDT,12,29,-30.92515,-51.98111,CRISTAL
SIMONE TEBET,8,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Presidente,MDB,12,29,-30.92515,-51.98111,CRISTAL
JAIR BOLSONARO,46,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Presidente,PL,12,29,-30.92515,-51.98111,CRISTAL
VIEIRA DA CUNHA,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Governador,PDT,12,29,-30.92515,-51.98111,CRISTAL
ARGENTA,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Governador,PSC,12,29,-30.92515,-51.98111,CRISTAL
EDEGAR PRETTO,53,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Governador,PT,12,29,-30.92515,-51.98111,CRISTAL
ONYX LORENZONI,29,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Governador,PL,12,29,-30.92515,-51.98111,CRISTAL
LUIS CARLOS HEINZE,3,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Governador,PP,12,29,-30.92515,-51.98111,CRISTAL
EDUARDO LEITE,54,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Governador,PSDB,12,29,-30.92515,-51.98111,CRISTAL
Nulo,3,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Governador,#NULO#,12,29,-30.92515,-51.98111,CRISTAL
Branco,4,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Governador,#NULO#,12,29,-30.92515,-51.98111,CRISTAL
PROFESSOR NADO,3,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Senador,AVANTE,12,29,-30.92515,-51.98111,CRISTAL
Nulo,6,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Senador,#NULO#,12,29,-30.92515,-51.98111,CRISTAL
ANA AMÉLIA LEMOS,56,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Senador,PSD,12,29,-30.92515,-51.98111,CRISTAL
OLÍVIO DUTRA,51,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Senador,PT,12,29,-30.92515,-51.98111,CRISTAL
HAMILTON MOURÃO,23,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Senador,REPUBLICANOS,12,29,-30.92515,-51.98111,CRISTAL
Branco,9,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Senador,#NULO#,12,29,-30.92515,-51.98111,CRISTAL
CLÁUDIA ÁVILA,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PSOL,12,29,-30.92515,-51.98111,CRISTAL
MARIA EUNICE,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PT,12,29,-30.92515,-51.98111,CRISTAL
DANIEL MUSSI,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PSD,12,29,-30.92515,-51.98111,CRISTAL
PSDB,2,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PSDB,12,29,-30.92515,-51.98111,CRISTAL
EWERTON FALK,2,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PL,12,29,-30.92515,-51.98111,CRISTAL
MARCON,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PT,12,29,-30.92515,-51.98111,CRISTAL
ENFERMEIRA FÁBIA RICHTER,95,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PSD,12,29,-30.92515,-51.98111,CRISTAL
PSD,2,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PSD,12,29,-30.92515,-51.98111,CRISTAL
COVATTI FILHO,4,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PP,12,29,-30.92515,-51.98111,CRISTAL
AFONSO HAMM,4,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PP,12,29,-30.92515,-51.98111,CRISTAL
Branco,10,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,#NULO#,12,29,-30.92515,-51.98111,CRISTAL
GIOVANI FELTES,2,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,MDB,12,29,-30.92515,-51.98111,CRISTAL
TENENTE CORONEL ZUCCO,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,REPUBLICANOS,12,29,-30.92515,-51.98111,CRISTAL
PAULO PIMENTA,3,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PT,12,29,-30.92515,-51.98111,CRISTAL
MARCEL FRISON,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PT,12,29,-30.92515,-51.98111,CRISTAL
ALEXANDRE LINDENMEYER,8,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PT,12,29,-30.92515,-51.98111,CRISTAL
DANIEL TRZECIAK 'DANIEL DA TV',10,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Federal,PSDB,12,29,-30.92515,-51.98111,CRISTAL
JOSÉ SCORSATTO,2,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Estadual,PDT,12,29,-30.92515,-51.98111,CRISTAL
PT,5,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Estadual,PT,12,29,-30.92515,-51.98111,CRISTAL
PSD,3,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Estadual,PSD,12,29,-30.92515,-51.98111,CRISTAL
FERNANDO MARRONI,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Estadual,PT,12,29,-30.92515,-51.98111,CRISTAL
AVANTE,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Estadual,AVANTE,12,29,-30.92515,-51.98111,CRISTAL
TONY SECHI,3,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Estadual,PSB,12,29,-30.92515,-51.98111,CRISTAL
EDIVILSON BRUM,1,UNIDADE BÁSICA DE SAÚDE DO CORDEIRO,Deputado Estadual,MDB,12,29,-30.92515,-51.98111,CRISTAL
