NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,8,ESCOLA ESTADUAL DOM FELICIANO,Presidente,#NULO#,12,3,-30.70167,-52.10804,DOM FELICIANO
SORAYA THRONICKE,2,ESCOLA ESTADUAL DOM FELICIANO,Presidente,UNIÃO,12,3,-30.70167,-52.10804,DOM FELICIANO
Nulo,8,ESCOLA ESTADUAL DOM FELICIANO,Presidente,#NULO#,12,3,-30.70167,-52.10804,DOM FELICIANO
JAIR BOLSONARO,125,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PL,12,3,-30.70167,-52.10804,DOM FELICIANO
SIMONE TEBET,11,ESCOLA ESTADUAL DOM FELICIANO,Presidente,MDB,12,3,-30.70167,-52.10804,DOM FELICIANO
CIRO GOMES,3,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PDT,12,3,-30.70167,-52.10804,DOM FELICIANO
LULA,136,ESCOLA ESTADUAL DOM FELICIANO,Presidente,PT,12,3,-30.70167,-52.10804,DOM FELICIANO
EDUARDO LEITE,59,ESCOLA ESTADUAL DOM FELICIANO,Governador,PSDB,12,3,-30.70167,-52.10804,DOM FELICIANO
VIEIRA DA CUNHA,2,ESCOLA ESTADUAL DOM FELICIANO,Governador,PDT,12,3,-30.70167,-52.10804,DOM FELICIANO
LUIS CARLOS HEINZE,11,ESCOLA ESTADUAL DOM FELICIANO,Governador,PP,12,3,-30.70167,-52.10804,DOM FELICIANO
ARGENTA,4,ESCOLA ESTADUAL DOM FELICIANO,Governador,PSC,12,3,-30.70167,-52.10804,DOM FELICIANO
EDEGAR PRETTO,93,ESCOLA ESTADUAL DOM FELICIANO,Governador,PT,12,3,-30.70167,-52.10804,DOM FELICIANO
VICENTE BOGO,2,ESCOLA ESTADUAL DOM FELICIANO,Governador,PSB,12,3,-30.70167,-52.10804,DOM FELICIANO
Branco,18,ESCOLA ESTADUAL DOM FELICIANO,Governador,#NULO#,12,3,-30.70167,-52.10804,DOM FELICIANO
ONYX LORENZONI,96,ESCOLA ESTADUAL DOM FELICIANO,Governador,PL,12,3,-30.70167,-52.10804,DOM FELICIANO
Nulo,8,ESCOLA ESTADUAL DOM FELICIANO,Governador,#NULO#,12,3,-30.70167,-52.10804,DOM FELICIANO
Nulo,17,ESCOLA ESTADUAL DOM FELICIANO,Senador,#NULO#,12,3,-30.70167,-52.10804,DOM FELICIANO
ANA AMÉLIA LEMOS,46,ESCOLA ESTADUAL DOM FELICIANO,Senador,PSD,12,3,-30.70167,-52.10804,DOM FELICIANO
Branco,24,ESCOLA ESTADUAL DOM FELICIANO,Senador,#NULO#,12,3,-30.70167,-52.10804,DOM FELICIANO
COMANDANTE NÁDIA,2,ESCOLA ESTADUAL DOM FELICIANO,Senador,PP,12,3,-30.70167,-52.10804,DOM FELICIANO
OLÍVIO DUTRA,112,ESCOLA ESTADUAL DOM FELICIANO,Senador,PT,12,3,-30.70167,-52.10804,DOM FELICIANO
HAMILTON MOURÃO,91,ESCOLA ESTADUAL DOM FELICIANO,Senador,REPUBLICANOS,12,3,-30.70167,-52.10804,DOM FELICIANO
SANNY FIGUEIREDO,1,ESCOLA ESTADUAL DOM FELICIANO,Senador,PSB,12,3,-30.70167,-52.10804,DOM FELICIANO
DANRLEI DE DEUS GOLEIRO,1,ESCOLA ESTADUAL DOM FELICIANO,Deputado Federal,PSD,12,3,-30.70167,-52.10804,DOM FELICIANO
TENENTE CORONEL ZUCCO,4,ESCOLA ESTADUAL DOM FELICIANO,Deputado Federal,REPUBLICANOS,12,3,-30.70167,-52.10804,DOM FELICIANO
MARLI SERPA,1,ESCOLA ESTADUAL DOM FELICIANO,Deputado Federal,REPUBLICANOS,12,3,-30.70167,-52.10804,DOM FELICIANO
MARIA DO ROSÁRIO,1,ESCOLA ESTADUAL DOM FELICIANO,Deputado Federal,PT,12,3,-30.70167,-52.10804,DOM FELICIANO
MARCON,8,ESCOLA ESTADUAL DOM FELICIANO,Deputado Federal,PT,12,3,-30.70167,-52.10804,DOM FELICIANO
ÁLVARO ARAÚJO,2,ESCOLA ESTADUAL DOM FELICIANO,Deputado Federal,PSDB,12,3,-30.70167,-52.10804,DOM FELICIANO
ROGÉRIO CHIMANSKI,1,ESCOLA ESTADUAL DOM FELICIANO,Deputado Federal,PDT,12,3,-30.70167,-52.10804,DOM FELICIANO
ALCEU MOREIRA,1,ESCOLA ESTADUAL DOM FELICIANO,Deputado Federal,MDB,12,3,-30.70167,-52.10804,DOM FELICIANO
