NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,4,ESCOLA MUNICIPAL SANTO INACIO,Presidente,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
SORAYA THRONICKE,1,ESCOLA MUNICIPAL SANTO INACIO,Presidente,UNIÃO,97,1,-29.85437,-51.13978,ESTEIO
Nulo,10,ESCOLA MUNICIPAL SANTO INACIO,Presidente,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
FELIPE D'AVILA,5,ESCOLA MUNICIPAL SANTO INACIO,Presidente,NOVO,97,1,-29.85437,-51.13978,ESTEIO
JAIR BOLSONARO,112,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PL,97,1,-29.85437,-51.13978,ESTEIO
CIRO GOMES,8,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PDT,97,1,-29.85437,-51.13978,ESTEIO
LULA,137,ESCOLA MUNICIPAL SANTO INACIO,Presidente,PT,97,1,-29.85437,-51.13978,ESTEIO
SIMONE TEBET,14,ESCOLA MUNICIPAL SANTO INACIO,Presidente,MDB,97,1,-29.85437,-51.13978,ESTEIO
EDUARDO LEITE,97,ESCOLA MUNICIPAL SANTO INACIO,Governador,PSDB,97,1,-29.85437,-51.13978,ESTEIO
EDEGAR PRETTO,81,ESCOLA MUNICIPAL SANTO INACIO,Governador,PT,97,1,-29.85437,-51.13978,ESTEIO
VIEIRA DA CUNHA,5,ESCOLA MUNICIPAL SANTO INACIO,Governador,PDT,97,1,-29.85437,-51.13978,ESTEIO
ONYX LORENZONI,74,ESCOLA MUNICIPAL SANTO INACIO,Governador,PL,97,1,-29.85437,-51.13978,ESTEIO
ARGENTA,1,ESCOLA MUNICIPAL SANTO INACIO,Governador,PSC,97,1,-29.85437,-51.13978,ESTEIO
LUIS CARLOS HEINZE,9,ESCOLA MUNICIPAL SANTO INACIO,Governador,PP,97,1,-29.85437,-51.13978,ESTEIO
Nulo,10,ESCOLA MUNICIPAL SANTO INACIO,Governador,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
Branco,14,ESCOLA MUNICIPAL SANTO INACIO,Governador,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
Nulo,24,ESCOLA MUNICIPAL SANTO INACIO,Senador,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
OLÍVIO DUTRA,112,ESCOLA MUNICIPAL SANTO INACIO,Senador,PT,97,1,-29.85437,-51.13978,ESTEIO
ANA AMÉLIA LEMOS,36,ESCOLA MUNICIPAL SANTO INACIO,Senador,PSD,97,1,-29.85437,-51.13978,ESTEIO
COMANDANTE NÁDIA,5,ESCOLA MUNICIPAL SANTO INACIO,Senador,PP,97,1,-29.85437,-51.13978,ESTEIO
HAMILTON MOURÃO,84,ESCOLA MUNICIPAL SANTO INACIO,Senador,REPUBLICANOS,97,1,-29.85437,-51.13978,ESTEIO
Branco,22,ESCOLA MUNICIPAL SANTO INACIO,Senador,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
SANNY FIGUEIREDO,6,ESCOLA MUNICIPAL SANTO INACIO,Senador,PSB,97,1,-29.85437,-51.13978,ESTEIO
PROFESSOR NADO,2,ESCOLA MUNICIPAL SANTO INACIO,Senador,AVANTE,97,1,-29.85437,-51.13978,ESTEIO
FABINHO NAVARRO,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,AVANTE,97,1,-29.85437,-51.13978,ESTEIO
JOLISA DUARTE,10,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PP,97,1,-29.85437,-51.13978,ESTEIO
TENENTE CORONEL ZUCCO,10,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,REPUBLICANOS,97,1,-29.85437,-51.13978,ESTEIO
MARCIO BIOLCHI,5,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,MDB,97,1,-29.85437,-51.13978,ESTEIO
SÉRGIO TURRA,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PP,97,1,-29.85437,-51.13978,ESTEIO
MARCEL FRISON,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
PAULO PIMENTA,9,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
PAULINHO DOS SANTOS,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
LUCIANE MANFRO,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,MDB,97,1,-29.85437,-51.13978,ESTEIO
VERA TITA,5,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
DELEGADO HELIOMAR,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,UNIÃO,97,1,-29.85437,-51.13978,ESTEIO
DANRLEI DE DEUS GOLEIRO,3,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSD,97,1,-29.85437,-51.13978,ESTEIO
MARLON SANTOS,5,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PL,97,1,-29.85437,-51.13978,ESTEIO
MARCEL VAN HATTEM,11,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,NOVO,97,1,-29.85437,-51.13978,ESTEIO
BOGORNI,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSD,97,1,-29.85437,-51.13978,ESTEIO
VILMAR LOURENÇO,5,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PP,97,1,-29.85437,-51.13978,ESTEIO
PAOLA SALDIVIA,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PATRIOTA,97,1,-29.85437,-51.13978,ESTEIO
ALEXANDRE LINDENMEYER,12,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
MARCO ALBA,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,MDB,97,1,-29.85437,-51.13978,ESTEIO
DOUGLAS MAESTRO PIFADOR,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,UNIÃO,97,1,-29.85437,-51.13978,ESTEIO
CHRIS ALLVES,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,MDB,97,1,-29.85437,-51.13978,ESTEIO
DAIANA SANTOS,7,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PC do B,97,1,-29.85437,-51.13978,ESTEIO
CORONEL MALABARBA,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,UNIÃO,97,1,-29.85437,-51.13978,ESTEIO
CARINA BELOME,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSC,97,1,-29.85437,-51.13978,ESTEIO
FORTUNATI,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,UNIÃO,97,1,-29.85437,-51.13978,ESTEIO
JULIANA BRIZOLA,2,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PDT,97,1,-29.85437,-51.13978,ESTEIO
RICARDO WAGNER,2,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PTB,97,1,-29.85437,-51.13978,ESTEIO
AFONSO HAMM,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PP,97,1,-29.85437,-51.13978,ESTEIO
CARLOS GOMES,6,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,REPUBLICANOS,97,1,-29.85437,-51.13978,ESTEIO
BIBO NUNES,6,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PL,97,1,-29.85437,-51.13978,ESTEIO
ASSIS MELO,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PC do B,97,1,-29.85437,-51.13978,ESTEIO
MARIA EUNICE,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
DR ALAN MELLO,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,SOLIDARIEDADE,97,1,-29.85437,-51.13978,ESTEIO
PR OSÉAS COSTA,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,REPUBLICANOS,97,1,-29.85437,-51.13978,ESTEIO
TEREZA FUJII,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
AMARAL EL NEGRITO,17,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSD,97,1,-29.85437,-51.13978,ESTEIO
HEITOR SCHUCH,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSB,97,1,-29.85437,-51.13978,ESTEIO
NESTOR SCHWERTNER,2,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
BUSATO,3,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,UNIÃO,97,1,-29.85437,-51.13978,ESTEIO
CINTIA ROCKENBACH,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PODE,97,1,-29.85437,-51.13978,ESTEIO
GIOVANI FELTES,5,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,MDB,97,1,-29.85437,-51.13978,ESTEIO
JOCIMAR SANTOS,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PODE,97,1,-29.85437,-51.13978,ESTEIO
ANY ORTIZ,6,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,CIDADANIA,97,1,-29.85437,-51.13978,ESTEIO
FERNANDA MELCHIONNA,15,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSOL,97,1,-29.85437,-51.13978,ESTEIO
SANDERSON,2,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PL,97,1,-29.85437,-51.13978,ESTEIO
MARCON,6,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
MARIA DO ROSÁRIO,6,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
WELLINGTON MASCATE,7,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSDB,97,1,-29.85437,-51.13978,ESTEIO
AIRTON SOUZA,2,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,MDB,97,1,-29.85437,-51.13978,ESTEIO
POMPEO DE MATTOS,3,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PDT,97,1,-29.85437,-51.13978,ESTEIO
PROFESSOR EDUARDO RUPPENTHAL,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSOL,97,1,-29.85437,-51.13978,ESTEIO
ENIO BACCI,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,UNIÃO,97,1,-29.85437,-51.13978,ESTEIO
GIOVANI CHERINI,9,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PL,97,1,-29.85437,-51.13978,ESTEIO
GRAZI OLIVEIRA,9,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSOL,97,1,-29.85437,-51.13978,ESTEIO
NELSON MARCHEZAN JÚNIOR,4,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSDB,97,1,-29.85437,-51.13978,ESTEIO
BOHN GASS,2,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
Nulo,12,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
PEDRO WESTPHALEN,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PP,97,1,-29.85437,-51.13978,ESTEIO
MAURICIO DZIEDRICKI,5,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PODE,97,1,-29.85437,-51.13978,ESTEIO
PAULO FERREIRA,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PP,97,1,-29.85437,-51.13978,ESTEIO
Branco,19,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,#NULO#,97,1,-29.85437,-51.13978,ESTEIO
PP,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PP,97,1,-29.85437,-51.13978,ESTEIO
UNIÃO,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,UNIÃO,97,1,-29.85437,-51.13978,ESTEIO
RONALDO NOGUEIRA,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,REPUBLICANOS,97,1,-29.85437,-51.13978,ESTEIO
MAURICIO MARCON,2,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PODE,97,1,-29.85437,-51.13978,ESTEIO
MÁRCIO CHAGAS COLETIVO NEGRO,2,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PSOL,97,1,-29.85437,-51.13978,ESTEIO
MDB,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,MDB,97,1,-29.85437,-51.13978,ESTEIO
REPUBLICANOS,1,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,REPUBLICANOS,97,1,-29.85437,-51.13978,ESTEIO
PT,6,ESCOLA MUNICIPAL SANTO INACIO,Deputado Federal,PT,97,1,-29.85437,-51.13978,ESTEIO
