NM_VOTAVEL,QT_VOTOS,Local,DS_CARGO_PERGUNTA,SG_PARTIDO,NR_ZONA,NR_SECAO,Latitude,Longitude,NM_MUNICIPIO
Branco,3,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,#NULO#,47,1,-28.63667,-56.015,SÃO BORJA
Nulo,1,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,#NULO#,47,1,-28.63667,-56.015,SÃO BORJA
SIMONE TEBET,9,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,MDB,47,1,-28.63667,-56.015,SÃO BORJA
CIRO GOMES,11,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PDT,47,1,-28.63667,-56.015,SÃO BORJA
LULA,162,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PT,47,1,-28.63667,-56.015,SÃO BORJA
JAIR BOLSONARO,83,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Presidente,PL,47,1,-28.63667,-56.015,SÃO BORJA
EDEGAR PRETTO,90,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Governador,PT,47,1,-28.63667,-56.015,SÃO BORJA
ONYX LORENZONI,39,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Governador,PL,47,1,-28.63667,-56.015,SÃO BORJA
LUIS CARLOS HEINZE,57,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Governador,PP,47,1,-28.63667,-56.015,SÃO BORJA
VICENTE BOGO,1,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Governador,PSB,47,1,-28.63667,-56.015,SÃO BORJA
VIEIRA DA CUNHA,5,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Governador,PDT,47,1,-28.63667,-56.015,SÃO BORJA
EDUARDO LEITE,68,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Governador,PSDB,47,1,-28.63667,-56.015,SÃO BORJA
ARGENTA,1,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Governador,PSC,47,1,-28.63667,-56.015,SÃO BORJA
Branco,7,ESCOLA MUNICIPAL CÍVICO-MILITAR DUQUE DE CAXIAS,Governador,#NULO#,47,1,-28.63667,-56.015,SÃO BORJA
